lemma,level,pos
ausüben,B2,VERB
begründen,B2,VERB
behaupten,B2,VERB
beinhalten,B2,VERB
berücksichtigen,B2,VERB
betonen,B2,VERB
bewältigen,B2,VERB
darstellen,B2,VERB
durchführen,B2,VERB
einschränken,B2,VERB
festlegen,B2,VERB
fördern,B2,VERB
fordern,B2,VERB
gefährden,B2,VERB
herausfordern,B2,VERB
herstellen,B2,VERB
kontrollieren,B2,VERB
koordinieren,B2,VERB
kritisieren,B2,VERB
nachweisen,B2,VERB
rechtfertigen,B2,VERB
scheitern,B2,VERB
sicherstellen,B2,VERB
überwachen,B2,VERB
umsetzen,B2,VERB
verbessern,B2,VERB
verhandeln,B2,VERB
veröffentlichen,B2,VERB
verwirklichen,B2,VERB
vorgehen,B2,VERB
wachsen,B2,VERB
zunehmen,B2,VERB
analyse,B2,NOUN
anforderung,B2,NOUN
ansatz,B2,NOUN
aspekt,B2,NOUN
aufgabe,B2,NOUN
auswirkung,B2,NOUN
bedürfnis,B2,NOUN
behörde,B2,NOUN
beschäftigung,B2,NOUN
einschränkung,B2,NOUN
fähigkeit,B2,NOUN
finanzierung,B2,NOUN
förderung,B2,NOUN
forderung,B2,NOUN
forschung,B2,NOUN
gemeinschaft,B2,NOUN
grundlage,B2,NOUN
herausforderung,B2,NOUN
infrastruktur,B2,NOUN
institution,B2,NOUN
kapazität,B2,NOUN
konflik,B2,NOUN
konzept,B2,NOUN
krisenmanagement,B2,NOUN
kritik,B2,NOUN
leistung,B2,NOUN
mechanismus,B2,NOUN
methode,B2,NOUN
perspektive,B2,NOUN
potenzial,B2,NOUN
priorität,B2,NOUN
prozent,B2,NOUN
rahmen,B2,NOUN
reform,B2,NOUN
ressource,B2,NOUN
risiko,B2,NOUN
sicherheit,B2,NOUN
strategie,B2,NOUN
tendenz,B2,NOUN
umsetzung,B2,NOUN
unternehmen,B2,NOUN
verantwortung,B2,NOUN
vereinbarung,B2,NOUN
verfahren,B2,NOUN
verwaltung,B2,NOUN
voraussetzung,B2,NOUN
wettbewerb,B2,NOUN
wirkung,B2,NOUN
ziel,B2,NOUN
zugang,B2,NOUN
zusammenhang,B2,NOUN
aktuell,B2,ADJ
allgemein,B2,ADJ
angemessen,B2,ADJ
ausreichend,B2,ADJ
effektiv,B2,ADJ
effizient,B2,ADJ
erheblich,B2,ADJ
grundlegend,B2,ADJ
komplex,B2,ADJ
kritisch,B2,ADJ
nachhaltig,B2,ADJ
relevant,B2,ADJ
strukturell,B2,ADJ
umfassend,B2,ADJ
verantwortlich,B2,ADJ
wesentlich,B2,ADJ
allerdings,B2,ADV
anscheinend,B2,ADV
demnach,B2,ADV
entsprechend,B2,ADV
folglich,B2,ADV
immerhin,B2,ADV
inzwischen,B2,ADV
jeweilig,B2,ADV
mittlerweile,B2,ADV
somit,B2,ADV
dennoch,B2,ADV
hingegen,B2,ADV
wiederum,B2,ADV
# C1 — advanced
anpassen,C1,VERB
aufzeigen,C1,VERB
auseinandersetzen,C1,VERB
ausschöpfen,C1,VERB
beeinflussen,C1,VERB
einbeziehen,C1,VERB
einordnen,C1,VERB
entgegenwirken,C1,VERB
gegenüberstellen,C1,VERB
implementieren,C1,VERB
integrieren,C1,VERB
konstatieren,C1,VERB
manipulieren,C1,VERB
minimieren,C1,VERB
optimieren,C1,VERB
priorisieren,C1,VERB
reflektieren,C1,VERB
regulieren,C1,VERB
strukturieren,C1,VERB
transformieren,C1,VERB
überarbeiten,C1,VERB
verdeutlichen,C1,VERB
voraussetzen,C1,VERB
auseinandersetzung,C1,NOUN
bewusstsein,C1,NOUN
diskrepanz,C1,NOUN
einschätzung,C1,NOUN
erkenntnis,C1,NOUN
fragestellung,C1,NOUN
handlungsspielraum,C1,NOUN
implementierung,C1,NOUN
kontext,C1,NOUN
konsequenz,C1,NOUN
korrelation,C1,NOUN
legitimation,C1,NOUN
nachhaltigkeit,C1,NOUN
paradigma,C1,NOUN
problemstellung,C1,NOUN
regulierung,C1,NOUN
solidarität,C1,NOUN
souveränität,C1,NOUN
transparenz,C1,NOUN
verdrängung,C1,NOUN
zielsetzung,C1,NOUN
ambivalent,C1,ADJ
differenziert,C1,ADJ
exemplarisch,C1,ADJ
fundiert,C1,ADJ
global,C1,ADJ
homogen,C1,ADJ
inhärent,C1,ADJ
konsistent,C1,ADJ
kontrovers,C1,ADJ
normativ,C1,ADJ
substantiell,C1,ADJ
systemisch,C1,ADJ
tendenziell,C1,ADJ
zunehmend,C1,ADV
gleichwohl,C1,ADV
insofern,C1,ADV
nichtsdestotrotz,C1,ADV
überdies,C1,ADV
# C2 — proficiency
axiomatisch,C2,ADJ
dekonstruieren,C2,VERB
epistemisch,C2,ADJ
heuristisch,C2,ADJ
idiosynkratisch,C2,ADJ
konstitutiv,C2,ADJ
paradigmatisch,C2,ADJ
postulieren,C2,VERB
prärogativ,C2,NOUN
proliferation,C2,NOUN
synkretismus,C2,NOUN
teleologisch,C2,ADJ
ubiquitär,C2,ADJ
